"app","from","to","pre","keyword","post","phrase"
"Radiance",8304,8306,"by changing the preferences on Your mobile device . "" Do Not Track "" Policy","as Required by","California Online Privacy Protection Act ( CalOPPA ) Our Service does not respond to Do","as required by"
"Runna",946,947,"the time necessary for us to provide the Services to you . We may be","required to","retain information for a longer period whenever required to do so for the performance of","required to"
"Runna",955,956,"to you . We may be required to retain information for a longer period whenever","required to","do so for the performance of a legal obligation or where obliged to do so","required to"
"Runna",964,965,"information for a longer period whenever required to do so for the performance of a","legal obligation","or where obliged to do so by a regulatory authority . Specific retention period for","legal obligation"
"Runna",1689,1690,"consent provided to us . Compliance and Legal Service Providers To assist with compliance and","legal obligations",". Our legitimate interests in improving our Services for the benefit of all users .","legal obligation"
"Runna",1813,1814,"We may also have to share your personal data with third parties where we are","required to","do so to : 1 . comply with the law ; 2 . enforce or","required to"
"Runna",1821,1822,"data with third parties where we are required to do so to : 1 .","comply with","the law ; 2 . enforce or apply our Terms ; or 3 . protect","comply with"
"Runna",2239,2241,"or lease your personal information to third parties unless we have your permission or are","required by law","to do so . Should a data breach occur that presents a high risk we","required by law"
"SimplePractice",355,357,"inquiries or requests from Clients about their Personal Information , we will honor those requests","as required by","applicable data privacy laws . We will also direct Clients to our Customers , the","as required by"
"SimplePractice",1454,1455,", to protect against malicious , deceptive , fraudulent or illegal activity , and to","comply with","our policies and procedures ; * To comply with our legal , regulatory and risk","comply with"
"SimplePractice",1463,1464,"or illegal activity , and to comply with our policies and procedures ; * To","comply with","our legal , regulatory and risk management obligations , including establishing , exercising and /","comply with"
"SimplePractice",1882,1883,"improve and enhance our Services . * From time to time , we may be","required to","provide Personal Information to a third party in order to comply with a subpoena ,","required to"
"SimplePractice",1894,1895,"we may be required to provide Personal Information to a third party in order to","comply with","a subpoena , court order , government investigation , or similar legal process . *","comply with"
"SimplePractice",1897,1897,"required to provide Personal Information to a third party in order to comply with a","subpoena",", court order , government investigation , or similar legal process . * We may","subpoena"
"SimplePractice",1899,1900,"provide Personal Information to a third party in order to comply with a subpoena ,","court order",", government investigation , or similar legal process . * We may also share your","court order"
"SimplePractice",1907,1908,"order to comply with a subpoena , court order , government investigation , or similar","legal process",". * We may also share your Personal Information to third parties , such as","legal process"
"SimplePractice",1924,1925,". * We may also share your Personal Information to third parties , such as","law enforcement","agencies , when we , in good faith , believe that disclosure is necessary to","law enforcement"
"SimplePractice",3038,3040,"as your Account is active , as needed to provide you Services , and as","necessary to comply","with our legal obligations , resolve disputes , and enforce our agreements . We follow","necessary to comply"
"SimplePractice",3040,3041,"Account is active , as needed to provide you Services , and as necessary to","comply with","our legal obligations , resolve disputes , and enforce our agreements . We follow generally","comply with"
"SimplePractice",3043,3044,", as needed to provide you Services , and as necessary to comply with our","legal obligations",", resolve disputes , and enforce our agreements . We follow generally accepted standards to","legal obligation"
"SimplePractice",3503,3504,"We may deny your request under certain circumstances , such as if we need to","comply with","our legal obligations or complete a transaction for which your Personal Information was collected .","comply with"
"SimplePractice",3506,3507,"your request under certain circumstances , such as if we need to comply with our","legal obligations","or complete a transaction for which your Personal Information was collected . If we deny","legal obligation"
"SimplePractice",4175,4176,"Information Information for Visitors from Outside of the United States : We are committed to","complying with","this Privacy Policy and the data protection laws that apply to our collection and use","comply with"
"Sober.Sidekick",367,368,"our Services , communicate with you , for security and fraud prevention , and to","comply with","law . We may also process your information for other purposes with your consent .","comply with"
"Sober.Sidekick",1808,1809,"our Services , communicate with you , for security and fraud prevention , and to","comply with","law . We may also process your information for other purposes with your consent .","comply with"
"Sober.Sidekick",2318,2319,"basis ) to do so under applicable law , like with your consent , to","comply with","laws , to provide you with services to enter into or fulfill our contractual obligations","comply with"
"Sober.Sidekick",2480,2481,"may process your personal information when we believe it is necessary to fulfill our contractual","obligations to","you , including providing our Services or at your request prior to entering into a","obligation to"
"Sober.Sidekick",2618,2619,"how our users use our products and services so we can improve user experience *","Legal Obligations",". We may process your information where we believe it is necessary for compliance with","legal obligation"
"Sober.Sidekick",2633,2634,"Legal Obligations . We may process your information where we believe it is necessary for","compliance with","our legal obligations , such as to cooperate with a law enforcement body or regulatory","compliance with"
"Sober.Sidekick",2636,2637,"We may process your information where we believe it is necessary for compliance with our","legal obligations",", such as to cooperate with a law enforcement body or regulatory agency , exercise","legal obligation"
"Sober.Sidekick",2645,2646,"is necessary for compliance with our legal obligations , such as to cooperate with a","law enforcement","body or regulatory agency , exercise or defend our legal rights , or disclose your","law enforcement"
"Sober.Sidekick",2960,2961,"or a contravention of the laws of Canada or a province * If disclosure is","required to","comply with a subpoena , warrant , court order , or rules of the court","required to"
"Sober.Sidekick",2962,2963,"contravention of the laws of Canada or a province * If disclosure is required to","comply with","a subpoena , warrant , court order , or rules of the court relating to","comply with"
"Sober.Sidekick",2965,2965,"laws of Canada or a province * If disclosure is required to comply with a","subpoena",", warrant , court order , or rules of the court relating to the production","subpoena"
"Sober.Sidekick",2969,2970,"a province * If disclosure is required to comply with a subpoena , warrant ,","court order",", or rules of the court relating to the production of records * If it","court order"
"Sober.Sidekick",3428,3430,"as long as necessary to fulfill the purposes outlined in this privacy notice unless otherwise","required by law",". We will only keep your personal information for as long as it is necessary","required by law"
"Sober.Sidekick",4475,4476,"troubleshoot problems , assist with any investigations , enforce our legal terms and / or","comply with","applicable legal requirements . If you have questions or comments about your privacy rights ,","comply with"
"Sober.Sidekick",5974,5975,"of his or her right to free speech , our compliance requirements resulting from a","legal obligation",", or any processing that may be required to protect against illegal activities . Right","legal obligation"
"Sober.Sidekick",5983,5984,"our compliance requirements resulting from a legal obligation , or any processing that may be","required to","protect against illegal activities . Right to be informed — Request to know Depending on","required to"
"Sober.Sidekick",6134,6135,"information we collected about you . In accordance with applicable law , we are not","obligated to","provide or delete consumer information that is de-identified in response to a consumer request or","obligated to"
"Stardust",991,993,"and provides additional information about how we collect , use , and disclose health data","as required by","laws like Washington's My Health My Data Act and Nevada's Consumer Health Data Privacy Law","as required by"
"Stardust",992,994,"provides additional information about how we collect , use , and disclose health data as","required by laws","like Washington's My Health My Data Act and Nevada's Consumer Health Data Privacy Law .","required by law"
"Stardust",1217,1218,"and reliable operation of the Services . ● Protection and compliance purposes , including to","comply with","our legal obligations and to detect and prevent fraud and illegal activity . We may","comply with"
"Stardust",1220,1221,"of the Services . ● Protection and compliance purposes , including to comply with our","legal obligations","and to detect and prevent fraud and illegal activity . We may use health data","legal obligation"
"Stardust",1243,1245,"and illegal activity . We may use health data for other purposes with your consent","as required by","law . Sharing of Health Data We may share each of the categories of health","as required by"
"Stardust",1244,1246,"illegal activity . We may use health data for other purposes with your consent as","required by law",". Sharing of Health Data We may share each of the categories of health data","required by law"
"Sugarmate",3372,3373,"for , or controlled by us . We also use personal information to meet our","legal obligations",", work with law enforcement , and for public safety purposes . We may use","legal obligation"
"Sugarmate",3377,3378,"us . We also use personal information to meet our legal obligations , work with","law enforcement",", and for public safety purposes . We may use personal information in order to","law enforcement"
"Sugarmate",3394,3395,", and for public safety purposes . We may use personal information in order to","comply with","laws , regulations , court orders , or other legal obligations or to assist in","comply with"
"Sugarmate",3400,3401,". We may use personal information in order to comply with laws , regulations ,","court orders",", or other legal obligations or to assist in an investigation ; to protect and","court order"
"Sugarmate",3405,3406,"information in order to comply with laws , regulations , court orders , or other","legal obligations","or to assist in an investigation ; to protect and defend our rights and property","legal obligation"
"Sugarmate",3768,3769,"may disclose personal information to our distributors to provide the Services to you . ●","Law Enforcement",", Government Agencies , Professional Advisers , and Similar Parties . We may disclose personal","law enforcement"
"Sugarmate",3790,3791,"Advisers , and Similar Parties . We may disclose personal information for legal compliance ,","law enforcement",", and public safety purposes , as allowed by law . For example , to","law enforcement"
"Sugarmate",3807,3808,", and public safety purposes , as allowed by law . For example , to","law enforcement",", government or regulatory bodies , lawful authorities , or other authorized external parties in","law enforcement"
"Sugarmate",3826,3827,"or regulatory bodies , lawful authorities , or other authorized external parties in order to","comply with","laws , regulations , court orders , or other legal obligations or to assist in","comply with"
"Sugarmate",3832,3833,", or other authorized external parties in order to comply with laws , regulations ,","court orders",", or other legal obligations or to assist in an investigation , to protect and","court order"
"Sugarmate",3837,3838,"parties in order to comply with laws , regulations , court orders , or other","legal obligations","or to assist in an investigation , to protect and defend our rights and property","legal obligation"
"Sugarmate",3868,3869,"property , or the rights , vital interests or safety of other parties , to","comply with","law enforcement proceedings , to enforce our Terms of Use , this Privacy Notice ,","comply with"
"Sugarmate",3870,3871,"or the rights , vital interests or safety of other parties , to comply with","law enforcement","proceedings , to enforce our Terms of Use , this Privacy Notice , or agreements","law enforcement"
"Sugarmate",5354,5356,"Parts of our Services may be available and / or directed to children . Where","required by law",", we seek to obtain the verifiable parental consent from the child's parent or guardian","required by law"
"Sugarmate",6363,6364,"' or affiliates ' own direct marketing purposes . Californians may request information about our","compliance with","this law by contacting us at privacy@tandemdiabetes.com . Back to Top 13 . Additional Information","compliance with"
"Sugarmate",7178,7179,"the Services you request , or to respond to your inquiries , such as to","comply with","our contractual obligation to fulfill transactional services . ● We have a legal obligation to","comply with"
"Sugarmate",7182,7183,", or to respond to your inquiries , such as to comply with our contractual","obligation to","fulfill transactional services . ● We have a legal obligation to process your personal information","obligation to"
"Sugarmate",7192,7193,"to comply with our contractual obligation to fulfill transactional services . ● We have a","legal obligation","to process your personal information , such as compliance with applicable tax and other government","legal obligation"
"Sugarmate",7193,7194,"comply with our contractual obligation to fulfill transactional services . ● We have a legal","obligation to","process your personal information , such as compliance with applicable tax and other government regulations","obligation to"
"Sugarmate",7202,7203,". ● We have a legal obligation to process your personal information , such as","compliance with","applicable tax and other government regulations or compliance with a court order or binding law","compliance with"
"Sugarmate",7211,7212,"your personal information , such as compliance with applicable tax and other government regulations or","compliance with","a court order or binding law enforcement request . ● The processing is to protect","compliance with"
"Sugarmate",7214,7215,", such as compliance with applicable tax and other government regulations or compliance with a","court order","or binding law enforcement request . ● The processing is to protect your vital interests","court order"
"Sugarmate",7218,7219,"with applicable tax and other government regulations or compliance with a court order or binding","law enforcement","request . ● The processing is to protect your vital interests , or those of","law enforcement"
"Sugarmate",7859,7860,"and , subsequently , transfers to a third party acting on our behalf . We","comply with","the DPF Principles for all onward transfers of personal information we receive in reliance on","comply with"
"Sugarmate",8021,8022,"of the U.S . Federal Trade Commission . In certain situations , we may be","required to","disclose personal information in response to lawful requests by public authorities , including to meet","required to"
"Sugarmate",8041,8042,"in response to lawful requests by public authorities , including to meet national security or","law enforcement","requirements . ● If you want to contact us with any inquiries or complaints regarding","law enforcement"
"Sugarmate",8164,8165,"FDPIC ) free of charge to make a complaint . Tandem commits to cooperate and","comply with","the advice of this panel . Under certain conditions , more fully described on the","comply with"
"Sugarmate",10894,10895,", upgrade , or enhance Sugarmate . We also use personal information to meet our","legal obligations",", work with law enforcement , ensure the safety of Sugarmate , and for other","legal obligation"
"Sugarmate",10899,10900,"Sugarmate . We also use personal information to meet our legal obligations , work with","law enforcement",", ensure the safety of Sugarmate , and for other public safety purposes . We","law enforcement"
"Sugarmate",10923,10924,"and for other public safety purposes . We may use personal information in order to","comply with","laws , regulations , court orders , or other legal obligations or to assist in","comply with"
"Sugarmate",10929,10930,". We may use personal information in order to comply with laws , regulations ,","court orders",", or other legal obligations or to assist in an investigation ; to protect and","court order"
"Sugarmate",10934,10935,"information in order to comply with laws , regulations , court orders , or other","legal obligations","or to assist in an investigation ; to protect and defend our rights and property","legal obligation"
"Sugarmate",11428,11429,"Sugarmate services you request , or to respond to your inquiries , such as to","comply with","our contractual obligation to fulfill transactional services . ● We have a legal obligation to","comply with"
"Sugarmate",11432,11433,", or to respond to your inquiries , such as to comply with our contractual","obligation to","fulfill transactional services . ● We have a legal obligation to process your personal information","obligation to"
"Sugarmate",11442,11443,"to comply with our contractual obligation to fulfill transactional services . ● We have a","legal obligation","to process your personal information , such as compliance with applicable tax and other government","legal obligation"
"Sugarmate",11443,11444,"comply with our contractual obligation to fulfill transactional services . ● We have a legal","obligation to","process your personal information , such as compliance with applicable tax and other government regulations","obligation to"
"Sugarmate",11452,11453,". ● We have a legal obligation to process your personal information , such as","compliance with","applicable tax and other government regulations or compliance with a court order or binding law","compliance with"
"Sugarmate",11461,11462,"your personal information , such as compliance with applicable tax and other government regulations or","compliance with","a court order or binding law enforcement request . ● The processing is to protect","compliance with"
"Sugarmate",11464,11465,", such as compliance with applicable tax and other government regulations or compliance with a","court order","or binding law enforcement request . ● The processing is to protect your vital interests","court order"
"Sugarmate",11468,11469,"with applicable tax and other government regulations or compliance with a court order or binding","law enforcement","request . ● The processing is to protect your vital interests , or those of","law enforcement"
"Waterllama",844,845,"the utmost importance to us , which is why it goes without saying that we","comply with","the statutory provisions on data protection . PLEASE READ THIS PRIVACY POLICY CAREFULLY , AS","comply with"
"Waterllama",3014,3015,"requests for information or services from you , howsoever received ) . f ) To","comply with","our legal or regulatory obligations . g ) To establish , exercise or defend legal","comply with"
"Waterllama",3246,3248,"to manage those carrying out work on behalf of PI ) ; ( iii )","Necessary to comply","with legal requirements ( for example , to comply with applicable regulatory obligations and employment","necessary to comply"
"Waterllama",3248,3249,"those carrying out work on behalf of PI ) ; ( iii ) Necessary to","comply with","legal requirements ( for example , to comply with applicable regulatory obligations and employment law","comply with"
"Waterllama",3257,3258,"; ( iii ) Necessary to comply with legal requirements ( for example , to","comply with","applicable regulatory obligations and employment law ) ; ( iiii ) Necessary for our legitimate","comply with"
"Waterllama",3812,3813,"updates . d ) The storage of our correspondence with you . e ) To","comply with","a legal obligation f ) To protect and defend the rights or property of Provider","comply with"
"Waterllama",3815,3816,") The storage of our correspondence with you . e ) To comply with a","legal obligation","f ) To protect and defend the rights or property of Provider g ) To","legal obligation"
"Yuka",408,409,"our Services , communicate with you , for security and fraud prevention , and to","comply with","law . We may also process your information for other purposes with your consent .","comply with"
"Yuka",2096,2097,"our Services , communicate with you , for security and fraud prevention , and to","comply with","law . We process the personal information for the following purposes listed below . We","comply with"
"Yuka",2493,2494,"basis ) to do so under applicable law , like with your consent , to","comply with","laws , to provide you with services to enter into or fulfill our contractual obligations","comply with"
"Yuka",2655,2656,"may process your personal information when we believe it is necessary to fulfill our contractual","obligations to","you , including providing our Services or at your request prior to entering into a","obligation to"
"Yuka",2760,2761,"and retain users ■ Diagnose problems and / or prevent fraudulent activities ■ __________ ■","Legal Obligations",". We may process your information where we believe it is necessary for compliance with","legal obligation"
"Yuka",2775,2776,"Legal Obligations . We may process your information where we believe it is necessary for","compliance with","our legal obligations , such as to cooperate with a law enforcement body or regulatory","compliance with"
"Yuka",2778,2779,"We may process your information where we believe it is necessary for compliance with our","legal obligations",", such as to cooperate with a law enforcement body or regulatory agency , exercise","legal obligation"
"Yuka",2787,2788,"is necessary for compliance with our legal obligations , such as to cooperate with a","law enforcement","body or regulatory agency , exercise or defend our legal rights , or disclose your","law enforcement"
"Yuka",3102,3103,"or a contravention of the laws of Canada or a province ■ If disclosure is","required to","comply with a subpoena , warrant , court order , or rules of the court","required to"
"Yuka",3104,3105,"contravention of the laws of Canada or a province ■ If disclosure is required to","comply with","a subpoena , warrant , court order , or rules of the court relating to","comply with"
"Yuka",3107,3107,"laws of Canada or a province ■ If disclosure is required to comply with a","subpoena",", warrant , court order , or rules of the court relating to the production","subpoena"
"Yuka",3111,3112,"a province ■ If disclosure is required to comply with a subpoena , warrant ,","court order",", or rules of the court relating to the production of records ■ If it","court order"
"Yuka",4810,4812,"as long as necessary to fulfill the purposes outlined in this Privacy Notice unless otherwise","required by law",". We will only keep your personal information for as long as it is necessary","required by law"
"Yuka",5674,5675,"troubleshoot problems , assist with any investigations , enforce our legal terms and / or","comply with","applicable legal requirements . Cookies and similar technologies : Most Web browsers are set to","comply with"
"Zocdoc",2450,2451,"Personal Data may be collected , used , and disclosed with the government , including","law enforcement",", or other parties to meet certain legal requirements and enforcing legal terms including :","law enforcement"
"Zocdoc",2469,2470,"other parties to meet certain legal requirements and enforcing legal terms including : fulfilling our","legal obligations","under applicable law , regulation , court order or other legal process , such as","legal obligation"
"Zocdoc",2477,2478,"enforcing legal terms including : fulfilling our legal obligations under applicable law , regulation ,","court order","or other legal process , such as preventing , detecting and investigating security incidents and","court order"
"Zocdoc",2481,2482,": fulfilling our legal obligations under applicable law , regulation , court order or other","legal process",", such as preventing , detecting and investigating security incidents and potentially illegal or prohibited","legal process"
"Zocdoc",3093,3094,"impressions to unique visitors , verifying positioning and quality of ad impressions , and auditing","compliance with","this specification and other standards . Healthcare Providers * Healthcare Providers with whom Users choose","compliance with"
"Zocdoc",3418,3419,". * To meet or fulfill the reason you provided the information to us .","Legal Obligations","We may disclose any Personal Data that we collect with third parties in conjunction with","legal obligation"
"Zocdoc",3756,3757,"We use the following types of Cookies : * Essential Cookies . Essential Cookies are","required to","provide you with features or services you have requested . For example , certain Cookies","required to"
"Zocdoc",4547,4548,"also delete all Cookies that are already on your device . Although you are not","required to","accept Zocdoc’s Cookies , if you block , reject , or delete them , you","required to"
"Zocdoc",5341,5343,"the complete security of any data you share with us , and except as expressly","required by law",", we are not responsible for the theft , destruction , loss , or inadvertent","required by law"
"Zocdoc",5451,5453,"In some cases , we retain Personal Data for longer , if doing so is","necessary to comply","with our legal obligations , resolve disputes or collect fees owed , provide our Services","necessary to comply"
"Zocdoc",5453,5454,"cases , we retain Personal Data for longer , if doing so is necessary to","comply with","our legal obligations , resolve disputes or collect fees owed , provide our Services ,","comply with"
"Zocdoc",5456,5457,"retain Personal Data for longer , if doing so is necessary to comply with our","legal obligations",", resolve disputes or collect fees owed , provide our Services , or is otherwise","legal obligation"
"Zocdoc",5815,5816,"are a parent or legal guardian of a minor child , you may , in","compliance with","the Agreement , use the Services on behalf of such minor child . Any information","compliance with"
"Zocdoc",5891,5892,"may contact you for any communication made in connection with providing the Services or any","legally required","communications . You further agree to forward or share any such communication with any person","legally required"
"Zocdoc",7559,7560,". If you participate in a financial incentive , you agree that we are not","required to","comply with your right to know or delete Personal Data collected in exchange for the","required to"
"Zocdoc",7561,7562,"you participate in a financial incentive , you agree that we are not required to","comply with","your right to know or delete Personal Data collected in exchange for the financial incentive","comply with"
"Zocdoc",8600,8602,"Valid Request . We will respond to your Valid Request within the applicable time period","required by law",". We will not charge you a fee for making a Valid Request unless your","required by law"
"Zocdoc",11414,11415,"Personal Data may be collected , used , and disclosed with the government , including","law enforcement",", or other parties to meet certain legal requirements and enforcing legal terms including :","law enforcement"
"Zocdoc",11433,11434,"other parties to meet certain legal requirements and enforcing legal terms including : fulfilling our","legal obligations","under applicable law , regulation , court order or other legal process , such as","legal obligation"
"Zocdoc",11441,11442,"enforcing legal terms including : fulfilling our legal obligations under applicable law , regulation ,","court order","or other legal process , such as preventing , detecting and investigating security incidents and","court order"
"Zocdoc",11445,11446,": fulfilling our legal obligations under applicable law , regulation , court order or other","legal process",", such as preventing , detecting and investigating security incidents and potentially illegal or prohibited","legal process"
"Zocdoc",12057,12058,"impressions to unique visitors , verifying positioning and quality of ad impressions , and auditing","compliance with","this specification and other standards . Healthcare Providers * Healthcare Providers with whom Users choose","compliance with"
"Zocdoc",12382,12383,". * To meet or fulfill the reason you provided the information to us .","Legal Obligations","We may disclose any Personal Data that we collect with third parties in conjunction with","legal obligation"
"Zocdoc",12720,12721,"We use the following types of Cookies : * Essential Cookies . Essential Cookies are","required to","provide you with features or services you have requested . For example , certain Cookies","required to"
"Zocdoc",13511,13512,"also delete all Cookies that are already on your device . Although you are not","required to","accept Zocdoc’s Cookies , if you block , reject , or delete them , you","required to"
"Zocdoc",14305,14307,"the complete security of any data you share with us , and except as expressly","required by law",", we are not responsible for the theft , destruction , loss , or inadvertent","required by law"
"Zocdoc",14415,14417,"In some cases , we retain Personal Data for longer , if doing so is","necessary to comply","with our legal obligations , resolve disputes or collect fees owed , provide our Services","necessary to comply"
"Zocdoc",14417,14418,"cases , we retain Personal Data for longer , if doing so is necessary to","comply with","our legal obligations , resolve disputes or collect fees owed , provide our Services ,","comply with"
"Zocdoc",14420,14421,"retain Personal Data for longer , if doing so is necessary to comply with our","legal obligations",", resolve disputes or collect fees owed , provide our Services , or is otherwise","legal obligation"
"Zocdoc",14779,14780,"are a parent or legal guardian of a minor child , you may , in","compliance with","the Agreement , use the Services on behalf of such minor child . Any information","compliance with"
"Zocdoc",14855,14856,"may contact you for any communication made in connection with providing the Services or any","legally required","communications . You further agree to forward or share any such communication with any person","legally required"
"Zocdoc",16523,16524,". If you participate in a financial incentive , you agree that we are not","required to","comply with your right to know or delete Personal Data collected in exchange for the","required to"
"Zocdoc",16525,16526,"you participate in a financial incentive , you agree that we are not required to","comply with","your right to know or delete Personal Data collected in exchange for the financial incentive","comply with"
"Zocdoc",17564,17566,"Valid Request . We will respond to your Valid Request within the applicable time period","required by law",". We will not charge you a fee for making a Valid Request unless your","required by law"
"Adidas.Running",374,375,"us . 1.2 Applicable Law . The processing of your personal data takes place in","compliance with","applicable local data privacy laws , e.g . the EU General Data Protection Regulation (","compliance with"
"Adidas.Running",3237,3238,"activities is our legitimate interest or , in the case of privacy issues , our","legal obligation","to process them , if applicable . The data categories processed for this purpose are","legal obligation"
"Adidas.Running",3238,3239,"is our legitimate interest or , in the case of privacy issues , our legal","obligation to","process them , if applicable . The data categories processed for this purpose are Identity","obligation to"
"Adidas.Running",3386,3387,"make sure the Websites and the App function properly , and d ) to monitor","compliance with","our Terms and Conditions . We may collect your Personal Data for this purpose by","compliance with"
"Adidas.Running",4749,4750,"this case with Advertising Solution Providers and Data Analytics Solution Providers . 3.14 Cooperation with","Law Enforcement","and Regulatory Authorities ( including Courts ) . When we are legally required to provide","law enforcement"
"Adidas.Running",4762,4763,"Cooperation with Law Enforcement and Regulatory Authorities ( including Courts ) . When we are","legally required","to provide your personal data for national and public security reasons , crime prevention ,","legally required"
"Adidas.Running",4763,4764,"with Law Enforcement and Regulatory Authorities ( including Courts ) . When we are legally","required to","provide your personal data for national and public security reasons , crime prevention , investigation","required to"
"Adidas.Running",4855,4856,"law to do so . The legal basis for these processing activities is our respective","legal obligation",", the necessity in order to protect the vital interests ’ people or the necessity","legal obligation"
"Adidas.Running",5010,5011,", we might also have to process certain information which might include personal data to","comply with","statutory retention periods . The legal basis for these processing activities is our respective legal","comply with"
"Adidas.Running",5026,5027,"with statutory retention periods . The legal basis for these processing activities is our respective","legal obligation","or our legitimate interest . The data categories processed for this purpose depend on the","legal obligation"
"Adidas.Running",6243,6244,"your personal data as reasonably necessary to perform their tasks on our behalf and are","obligated to","protect it and not to disclose or use it for other purposes . We use","obligated to"
"Adidas.Running",6774,6775,", that we need to enforce our claims or that we need to document our","compliance with","legal requirements will not be deleted but reduced to the minimum necessary . Personal Data","compliance with"
"Adidas.Running",7506,7507,"the export is completed , because otherwise , we would no longer be able to","comply with","this request . Please note that we consider a request to delete your account as","comply with"
"Adidas.Running",7661,7662,"; * the processing is unlawful ; the personal data have to be erased for","compliance with","a legal obligation in European Union or Member State law to which Runtastic is subject","compliance with"
"Adidas.Running",7664,7665,"processing is unlawful ; the personal data have to be erased for compliance with a","legal obligation","in European Union or Member State law to which Runtastic is subject to . 6.7","legal obligation"
"Adidas.Running",7990,7991,"to do the same through contractual agreements . These security measures are constantly revised to","comply with","the latest technological developments . However , you should be aware that any transmission of","comply with"
"Adidas.Running",10221,10222,"your success in a certain challenge , in connection with support services or to ensure","compliance with","our terms of use . Furthermore , it may be that we anonymize personal data","compliance with"
"Adidas.Running",10668,10669,", blocking or deletion of unnecessary or excessive personal data or personal data processed in","noncompliance with","the provisions of the LGPD ; portability of the personal data to another service provider","compliance with"
"Adidas.Running",10862,10863,"certain purpose is based on your consent , please be advised that you are not","obligated to","give such consent and that you may revoke a consent you have given at any","obligated to"
"All.the.Rings",861,863,"who handle the payment portion of your subscriptions ; If we believe disclosure is reasonably","necessary to comply","with any applicable law , regulation , legal process or governmental request ; To enforce","necessary to comply"
"All.the.Rings",863,864,"the payment portion of your subscriptions ; If we believe disclosure is reasonably necessary to","comply with","any applicable law , regulation , legal process or governmental request ; To enforce applicable","comply with"
"All.the.Rings",871,872,"we believe disclosure is reasonably necessary to comply with any applicable law , regulation ,","legal process","or governmental request ; To enforce applicable user agreements or policies , including our Terms","legal process"
"All.the.Rings",2296,2298,"who handle the payment portion of your subscriptions ; If we believe disclosure is reasonably","necessary to comply","with any applicable law , regulation , legal process or governmental request ; To enforce","necessary to comply"
"All.the.Rings",2298,2299,"the payment portion of your subscriptions ; If we believe disclosure is reasonably necessary to","comply with","any applicable law , regulation , legal process or governmental request ; To enforce applicable","comply with"
"All.the.Rings",2306,2307,"we believe disclosure is reasonably necessary to comply with any applicable law , regulation ,","legal process","or governmental request ; To enforce applicable user agreements or policies , including our Terms","legal process"
"Amwell",1932,1932,"unlikely event of bankruptcy . Legal purposes . We may disclose information to respond to","subpoenas",", court orders , legal process , law enforcement requests , legal claims or government","subpoena"
"Amwell",1934,1935,"of bankruptcy . Legal purposes . We may disclose information to respond to subpoenas ,","court orders",", legal process , law enforcement requests , legal claims or government inquiries , and","court order"
"Amwell",1937,1938,"Legal purposes . We may disclose information to respond to subpoenas , court orders ,","legal process",", law enforcement requests , legal claims or government inquiries , and to protect and","legal process"
"Amwell",1940,1941,"We may disclose information to respond to subpoenas , court orders , legal process ,","law enforcement","requests , legal claims or government inquiries , and to protect and defend the rights","law enforcement"
"Amwell",1983,1984,"Well , our affiliates , users , or the public . If we are legally","compelled to","disclose information about you to a third party , we will attempt to notify you","compelled to"
"Amwell",4970,4970,"unlikely event of bankruptcy . Legal purposes . We may disclose information to respond to","subpoenas",", court orders , legal process , law enforcement requests , legal claims or government","subpoena"
"Amwell",4972,4973,"of bankruptcy . Legal purposes . We may disclose information to respond to subpoenas ,","court orders",", legal process , law enforcement requests , legal claims or government inquiries , and","court order"
"Amwell",4975,4976,"Legal purposes . We may disclose information to respond to subpoenas , court orders ,","legal process",", law enforcement requests , legal claims or government inquiries , and to protect and","legal process"
"Amwell",4978,4979,"We may disclose information to respond to subpoenas , court orders , legal process ,","law enforcement","requests , legal claims or government inquiries , and to protect and defend the rights","law enforcement"
"Amwell",5021,5022,"Well , our affiliates , users , or the public . If we are legally","compelled to","disclose information about you to a third party , we will attempt to notify you","compelled to"
"Apple.Health",518,519,"why they are requesting access to your Health app data . Each app is also","required to","have a privacy policy that describes its use of health data , so you should","required to"
"Apple.Health",3892,3893,"why they are requesting access to your Health app data . Each app is also","required to","have a privacy policy that describes its use of health data , so you should","required to"
"Apple.Health",7262,7263,"why they are requesting access to your Health app data . Each app is also","required to","have a privacy policy that describes its use of health data , so you should","required to"
"Apple.Health",10155,10156,"why they are requesting access to your Health app data . Each app is also","required to","have a privacy policy that describes its use of health data , so you should","required to"
"athenaPatient",1107,1108,"messages ; For data analysis , our internal management / operations , audits , and","compliance with","all applicable laws , regulations , and law enforcement requirements ; To enable cross-device /","compliance with"
"athenaPatient",1116,1117,"/ operations , audits , and compliance with all applicable laws , regulations , and","law enforcement","requirements ; To enable cross-device / cross-context tracking for your log in with athena (","law enforcement"
"athenaPatient",1271,1272,"in the context of providing the Services to your healthcare provider as well as to","comply with","the contractual obligations we may have to your healthcare provider ; With our third-party vendors","comply with"
"athenaPatient",1363,1364,"information to / from pursuant to our agreements with your provider ; When we are","complying with","laws or responding to lawful requests and legal processes or responding to an emergency situation","comply with"
"athenaPatient",1372,1373,"your provider ; When we are complying with laws or responding to lawful requests and","legal processes","or responding to an emergency situation ; When we believe it is necessary to protect","legal process"
"athenaPatient",1518,1519,"as long as permitted under our contracts with your healthcare providers or as needed to","comply with","our legal obligations , to resolve disputes , and to enforce our legal rights ,","comply with"
"athenaPatient",1521,1522,"permitted under our contracts with your healthcare providers or as needed to comply with our","legal obligations",", to resolve disputes , and to enforce our legal rights , policies , terms","legal obligation"
